dia,Harina de trigo,Sal,Levadura,Mantequilla,Azúcar,Chocolate,Emmental,Pasas,Leche
2,182100,3651,1543,22730,3140,4800,900,0,5220
3,184000,3711,1615,19750,2360,4500,0,0,4270
4,117400,2358,1130,7420,1040,1700,100,0,1790
5,106150,2118,1071,5420,1110,600,100,0,2080
7,105000,2111,1033,5950,810,1500,0,0,1990
8,95700,1910,848,10930,1390,2200,400,0,2600
9,136200,2748,1275,11100,1380,2500,0,0,2880
10,153700,3095,1349,16600,1750,4200,0,0,3210
11,95600,1899,886,5800,650,1700,500,0,1460
12,80250,1603,741,6670,860,1200,100,0,1510
14,92200,1842,866,8970,1270,1800,100,0,2150
15,105250,2092,940,11950,1560,2600,500,0,3060
16,126450,2550,1220,8750,1180,1600,0,0,2380
17,167500,3373,1497,16500,1680,4700,0,0,3530
18,92150,1843,882,6620,950,1400,600,0,1740
19,87100,1754,838,6770,980,1100,100,0,1770
21,92700,1856,950,3500,880,0,0,0,1520
22,99100,1988,895,10740,1430,2300,200,0,2290
23,117450,2359,1068,10640,1060,3300,200,0,2520
24,148050,3003,1368,14150,2410,2650,0,0,3690
25,95250,1914,864,8660,1110,2250,300,0,2190
26,92800,1877,903,7720,1020,1900,100,0,2080
28,84850,1710,835,7200,1050,2000,0,0,2300
29,92500,1839,868,7840,1170,2050,200,0,2430
30,135150,2719,1231,12920,1750,2950,100,0,3190
31,163250,3296,1338,24800,3410,5400,0,0,5370
32,76550,1532,748,4520,590,1400,100,0,1240
33,87250,1747,866,3940,600,1150,200,0,1510
35,102450,2058,962,9240,1180,1900,200,0,2370
36,117300,2324,1091,9530,1180,2700,400,0,2600
37,132700,2680,1172,16100,2590,3950,0,0,4030
38,171250,3454,1460,22250,2730,5100,0,0,4790
39,99350,2001,955,8650,1400,1600,0,0,2520
40,101050,2051,1015,7220,1070,1950,100,0,2120
42,83350,1691,763,8150,880,2600,0,0,1790
43,93300,1875,892,8450,1360,1400,0,0,2420
44,132100,2668,1201,13720,2100,3250,100,0,3390
45,200950,4067,1659,27700,3410,8100,0,0,5870
46,116900,2338,1126,6250,940,1100,0,0,1620
47,108100,2173,1047,7770,1000,2100,100,0,2080
49,103300,2064,1047,5600,1240,500,0,0,2140
50,132650,2670,1242,11370,1620,3000,100,0,3160
51,161650,3268,1535,12420,1970,3300,100,0,3480
52,261400,5279,2221,34300,5430,7400,0,0,7920
53,187950,3782,1690,19330,2720,4800,400,0,4660
54,187950,3778,1686,18840,2610,3850,200,0,4590
56,205000,4113,1884,17750,2370,3600,0,0,4190
57,225100,4472,2011,22480,2950,6300,900,0,5940
58,306700,6166,2879,23750,3860,5300,500,0,6610
59,416200,8403,3585,50520,6530,15350,100,0,11420
60,191850,3841,1787,14890,1930,3600,200,0,3850
61,190100,3809,1870,10110,1510,2600,300,0,3590
63,190850,3830,1816,12990,1740,3500,200,0,3530
64,202000,4042,1883,16380,2680,3950,400,0,4960
65,248000,4985,2262,20380,2920,5550,400,0,4830
66,273500,5534,2365,31850,4290,8900,0,0,7220
67,126650,2544,1251,8720,1440,2600,100,0,2930
68,140700,2815,1330,11030,1400,3250,400,0,2730
70,142150,2834,1319,12650,1720,2800,500,0,3330
71,148750,2995,1359,14330,2060,4250,400,0,3980
72,197550,4001,1711,24150,3620,6150,0,0,5550
73,274050,5561,2371,31450,4270,8250,0,0,6860
74,137050,2740,1309,10830,1620,3250,400,0,3320
75,149200,2963,1399,12440,1970,3300,200,0,3580
77,93350,1870,936,6070,980,1600,100,0,2200
78,120500,2402,1098,12520,1780,4000,100,0,3740
79,207900,4187,1922,17370,2630,4300,100,0,4410
80,229050,4638,2017,25600,4110,6100,0,0,6400
81,136300,2717,1294,9720,1460,1950,600,0,2690
82,110050,2212,1044,7460,1080,1300,300,0,2040
84,138350,2759,1354,8290,1260,1500,200,0,2480
85,146900,2938,1326,14330,1970,3650,400,0,3710
86,147750,2978,1399,10260,1860,2800,300,0,3220
87,226600,4574,1998,23560,3640,5350,300,0,5560
88,135500,2691,1341,6390,1310,1300,700,0,2830
89,151400,3028,1432,11660,1770,2600,300,0,3370
91,117800,2347,1140,7850,1230,1600,0,0,2470
92,165400,3318,1577,11870,2010,3600,100,0,4180
93,259100,5225,2410,22220,3570,4550,100,0,6040
94,406700,8212,3566,43620,5920,11350,100,0,9460
95,242800,4907,2300,18400,2590,4750,0,0,4730
96,167500,3338,1637,10220,1550,2400,600,0,3580
98,153850,3094,1439,11850,1590,3450,0,0,3000
99,131500,2635,1313,7110,1390,1150,300,0,2820
100,183850,3713,1682,18140,3160,4300,200,0,5490
101,241700,4892,2197,21400,3310,4900,0,0,5090
102,164200,3287,1605,9760,1620,2050,300,0,3320
103,163400,3266,1505,14660,2250,3950,300,0,3810
104,114900,2299,1095,8070,1280,1350,100,0,2080
105,139200,2782,1367,7320,1390,1600,100,0,2570
106,174600,3516,1638,14540,1980,4150,200,0,4090
107,207400,4169,1825,22300,3080,5100,0,0,5550
108,314800,6393,2800,35350,4970,9500,0,0,8060
109,142500,2831,1359,9580,1490,1900,400,0,3140
110,192750,3857,1791,15980,2270,4400,400,0,4070
111,145100,2888,1348,10260,1380,2350,300,0,2690
112,194250,3914,1850,13930,2500,3600,400,0,4030
113,171500,3412,1622,11270,1510,2750,600,0,3360
114,239900,4835,2186,22070,2860,5450,100,0,5120
115,305450,6162,2578,40350,5550,10850,0,0,9000
116,145400,2919,1324,13170,1440,3800,100,0,3170
117,122750,2485,1188,9850,1410,2000,0,0,2850
118,132100,2625,1239,10130,1910,2100,400,0,2990
119,141450,2803,1331,9870,1330,2600,600,0,3270
120,139250,2790,1327,10560,1800,2000,300,0,3630
121,226950,4563,2060,19520,3160,4300,100,0,5010
122,282250,5684,2460,27770,3300,7900,100,0,5990
123,156000,3114,1470,13130,2120,3000,400,0,3930
124,144550,2908,1429,7520,1240,1850,100,0,2560
125,165550,3293,1517,15840,2350,3300,200,0,4160
126,133750,2670,1242,11540,1920,3100,200,0,2920
127,154750,3112,1459,12890,1920,2500,200,0,3970
128,258800,5223,2323,26460,3500,7900,300,0,6440
129,308450,6245,2824,28600,4710,6000,0,0,7390
130,149750,3019,1431,11090,2060,2550,200,0,3580
131,144000,2883,1368,10560,1440,3200,300,0,2620
132,219000,4383,2108,13530,2360,2750,400,0,4260
133,339100,6846,3126,30050,4700,7350,0,0,8030
134,406000,8157,3586,45490,6290,12000,200,0,10950
135,440150,8835,3855,49420,6690,12850,100,0,10840
136,431350,8629,3486,64940,8810,15600,700,0,13530
141,114500,2280,1081,10100,2150,2000,500,0,3720
142,265000,5295,2321,29230,4040,6650,400,0,7050
143,403050,8082,3442,49200,7370,11400,0,0,10670
144,335350,6753,2833,42750,5570,11550,0,0,8960
145,155250,3100,1444,13290,2150,3200,700,0,3810
146,118450,2373,1205,4940,1110,950,200,0,2050
147,130600,2608,1281,8840,1850,1400,200,0,3150
148,147050,2923,1405,10820,2000,2600,600,0,3510
149,230150,4610,2057,21580,2610,4900,400,0,4840
150,305750,6171,2669,34150,4410,8700,0,0,7430
151,137000,2725,1326,8880,1480,2100,900,0,3020
152,142250,2832,1393,8530,1580,950,400,0,2800
153,107000,2120,1014,9330,1580,2250,400,0,3180
154,111950,2217,1090,7900,1750,1800,500,0,3360
155,168750,3348,1544,17010,2460,4450,800,0,5380
156,215000,4330,1900,22700,3300,5200,500,0,5410
157,324800,6548,2801,36500,4230,9950,500,0,7340
158,132250,2636,1303,8310,1390,1600,300,0,3290
159,135950,2696,1257,14410,2350,3350,300,0,4260
160,121550,2420,1093,13520,1930,3650,600,0,3530
161,129250,2573,1210,11390,1420,3750,200,0,3220
162,136600,2705,1243,14360,2150,3550,800,0,4270
163,214200,4304,1876,23720,2600,6850,100,0,5050
164,344300,6956,2982,38970,4110,11550,100,0,7850
165,156500,3119,1505,10510,1410,2800,800,0,3270
166,131450,2600,1216,13240,2070,3100,700,0,3970
167,136350,2718,1281,11440,1860,2250,200,0,3450
168,119050,2378,1138,8670,1380,2500,100,0,2650
169,134450,2684,1267,10280,1630,2000,400,0,3110
170,223300,4477,2048,18790,2530,4850,200,0,5090
171,316500,6381,2677,38150,4820,9200,0,0,7580
172,167250,3363,1621,10270,2030,1250,100,0,3590
173,134800,2694,1274,9450,1480,3500,500,0,3210
174,120800,2431,1211,6410,1320,1200,300,0,2610
175,161150,3207,1536,13080,2360,2400,400,0,3910
176,149100,2991,1400,13990,2020,3550,200,0,4170
177,217050,4377,1920,20790,2470,5100,200,0,4270
178,340350,6858,2944,38770,5230,9300,100,0,8330
179,143450,2864,1358,10990,1690,2300,200,0,3340
180,128900,2556,1242,9810,1890,1850,300,0,3350
181,144100,2868,1419,8100,1650,1500,500,0,3330
182,147600,2947,1388,12570,1780,3400,100,0,3510
183,147700,2949,1374,14330,2030,4300,400,0,4230
184,250300,5048,2296,22670,3400,5000,100,0,6090
185,321750,6491,2802,35000,4770,9000,0,0,7780
186,188350,3774,1809,12850,2240,2350,500,0,4170
187,177100,3545,1641,16210,2800,3650,300,0,4690
188,180900,3616,1692,14330,2410,4000,400,0,4210
189,201250,4028,1935,15360,2560,2900,300,0,4240
190,220100,4421,2075,19890,3170,4050,200,0,5690
191,320000,6405,2886,29510,4070,6950,800,0,7040
192,427200,8630,3797,46790,7080,10800,200,0,11020
193,330400,6631,3101,24880,3440,6050,400,0,6630
194,274900,5514,2591,20780,3060,4500,400,0,5800
195,383550,7731,3531,34940,5650,7850,200,0,9080
196,329650,6567,3017,29190,4330,6100,1200,0,7950
197,296950,5938,2758,25610,3440,6600,800,0,7030
198,434250,8691,3774,47730,6390,10750,400,0,10380
199,370600,7511,3061,56250,7110,12500,0,0,11660
200,339600,6865,3158,30220,4490,4700,100,0,7360
201,311550,6217,2820,30050,4090,6750,1000,0,6940
202,292750,5842,2770,22810,4200,3750,800,0,6850
203,279950,5626,2614,25960,3710,7300,800,0,7170
204,294300,5837,2680,31220,4380,7600,1100,0,8130
205,388000,7781,3369,45640,5920,11750,200,0,10500
206,443600,8928,3867,51090,7260,11950,200,0,11260
207,341400,6864,3270,25020,3930,4950,600,0,7260
208,294100,5917,2845,21910,3770,3550,300,0,6860
209,311250,6231,2774,31840,4650,6750,200,0,7630
210,306000,6111,2853,21390,3450,4450,700,0,5910
211,311550,6231,2845,28080,4690,6400,400,0,7790
212,373300,7488,3362,37470,5590,9150,100,0,9580
213,451700,9096,3962,50020,7340,11600,100,0,10510
214,368250,7412,3222,39840,4680,11400,200,0,8580
215,382050,7695,3452,39590,5290,10350,200,0,9340
216,315500,6326,2853,29630,4370,7800,400,0,6940
217,338600,6792,3184,28090,4750,5950,200,0,8130
218,311200,6249,2807,31470,4830,8250,600,0,7910
219,406150,8117,3834,30760,5300,5950,800,0,9020
220,492450,9911,4310,55700,8260,12800,0,0,12910
221,416000,8343,3723,41610,5440,9800,300,0,9230
222,347700,6948,3224,28100,4440,6300,500,0,7580
223,416350,8256,3731,38650,6430,6900,1500,0,9660
224,430550,8604,3854,40040,5410,9400,700,0,8920
225,351550,7005,3067,34610,4190,9600,800,0,7530
226,456950,9134,4110,41120,5570,10050,600,0,9750
227,554200,11137,4662,70810,9030,20100,300,0,14870
228,406200,8135,3839,27430,4270,5550,400,0,7460
229,311350,6224,2816,28020,4030,6700,600,0,7070
230,368750,7370,3408,28120,4340,6050,1100,0,7240
231,357150,7175,3316,27630,3740,7500,400,0,7170
232,298150,5915,2626,29970,4280,6600,1100,0,7320
233,413850,8306,3566,48370,6090,12350,100,0,10370
234,445400,8967,3760,56700,7090,16750,0,0,11770
235,307200,6140,2818,27240,3630,6100,700,0,6560
236,295450,5915,2724,26530,4630,4900,900,0,7450
237,263100,5247,2513,15500,2880,2300,500,0,4750
238,320450,6408,2876,31160,4440,7600,800,0,7430
239,236900,4726,2213,17160,2780,3750,800,0,4790
240,306300,6137,2739,32160,5000,7300,300,0,7740
241,378500,7612,3449,34610,5000,8000,800,0,8900
242,211400,4233,1913,19720,3060,4050,600,0,4900
243,173150,3449,1531,18830,2330,5350,400,0,4540
244,164000,3267,1570,11620,1980,1750,600,0,3360
245,166100,3307,1527,12880,1920,2400,400,0,3430
246,181600,3638,1667,15900,2170,3950,500,0,4130
247,261050,5270,2341,25090,3090,6750,200,0,5620
248,296100,5951,2495,36780,5380,8650,400,0,8100
249,164850,3277,1559,13330,2310,1950,400,0,3680
250,157600,3143,1488,11830,1740,2850,400,0,3090
251,155850,3099,1487,12520,1940,2900,600,0,3600
252,167450,3327,1605,12210,2420,1650,800,0,3850
253,147000,2936,1404,12600,2240,2750,500,0,4020
254,235550,4768,2211,20670,3160,3750,100,0,5410
255,295850,5975,2512,38400,4870,9850,0,0,7970
256,170700,3419,1661,10780,1350,3100,400,0,3000
257,116200,2297,1068,10080,1440,2450,400,0,2590
258,120850,2398,1143,10920,1980,2450,600,0,3350
259,128900,2538,1178,8980,1220,2350,900,0,2260
260,128650,2548,1192,11340,1760,3200,200,0,3500
261,204600,4135,1862,18820,2590,4450,100,0,4400
262,233200,4702,2092,24900,3660,4700,0,0,6360
263,159650,3172,1484,11590,1740,2450,700,0,2930
264,137650,2723,1324,9680,1550,2500,900,0,3240
265,27000,535,260,1950,510,0,0,0,380
266,123700,2441,1089,12340,1680,3400,700,0,2850
267,148950,2967,1450,11640,1870,3350,200,0,3940
268,219550,4425,1991,19220,2400,4650,100,0,4320
269,227350,4591,1931,29600,3820,7050,0,0,6220
270,109000,2159,1017,7550,1010,2000,500,0,2010
271,108150,2133,1011,9080,1030,2700,400,0,2350
272,110100,2187,1042,9030,1220,2800,400,0,2510
273,107600,2128,1027,8750,1200,1900,500,0,2360
274,124650,2476,1152,10800,1750,2600,500,0,3350
275,139400,2802,1186,16590,2090,4500,200,0,3530
276,191650,3874,1658,23750,3610,5900,0,0,5910
277,121050,2421,1182,8660,1260,2250,300,0,2620
278,97100,1919,913,7830,1140,2500,400,0,2340
279,108600,2157,1050,8540,1220,2300,200,0,2690
280,119450,2390,1095,11410,1570,2700,300,0,2760
281,137500,2742,1298,12180,2120,3100,400,0,3860
282,191400,3823,1774,17260,2600,4250,300,0,4700
283,245050,4938,2060,31370,4200,7900,100,0,6430
284,111100,2220,1036,9840,1260,2200,200,0,2600
285,79250,1571,742,7120,980,1700,100,0,1960
286,92500,1835,845,8820,1360,2850,600,0,2810
287,97850,1922,932,6970,1260,1600,600,0,2660
288,93650,1865,785,13230,1480,3100,400,0,2940
289,163300,3314,1524,14570,2120,2500,100,0,3580
290,214200,4322,1831,26550,3580,6400,0,0,5840
291,98200,1973,983,5670,950,850,100,0,2010
292,124850,2473,1167,8100,970,2300,500,0,2360
293,97500,1927,900,8560,1230,2050,300,0,2280
294,126400,2527,1217,9080,1420,2000,400,0,2670
295,123350,2449,1193,9780,1290,2100,400,0,2950
296,207100,4155,1851,17240,1970,4700,200,0,3970
297,266600,5376,2295,31750,4450,7750,0,0,7050
298,155550,3121,1504,10520,1450,2800,100,0,2750
299,182950,3662,1704,15240,1910,4150,200,0,3750
300,171800,3428,1593,14120,1930,5200,600,0,3930
301,173000,3481,1673,10530,1530,2900,400,0,3280
302,176300,3534,1684,14640,1920,4200,200,0,4070
303,255400,5161,2347,25000,4180,5300,0,0,6510
304,358150,7236,3100,39900,5280,11050,0,0,8760
305,309200,6237,2802,28470,4420,8700,100,0,7000
306,175600,3511,1638,15910,2440,4150,300,0,4170
307,179700,3601,1746,11370,1920,2000,100,0,3600
308,151350,3037,1438,10540,2000,2750,200,0,3240
309,155350,3105,1456,11610,1710,2550,300,0,3380
310,191850,3837,1676,21610,2580,6150,300,0,4820
311,180100,3637,1576,20700,3060,5300,0,0,4950
312,124050,2449,1169,9280,1060,3050,400,0,2240
313,107150,2115,1062,6760,1130,1250,300,0,2090
314,110600,2197,1030,9930,1420,3150,400,0,2750
315,171300,3447,1537,17270,2160,4300,100,0,3690
316,109400,2205,1062,8000,1190,2100,0,0,2480
317,138450,2801,1317,11450,1760,2650,0,0,3200
318,193900,3911,1604,26000,2690,7300,0,0,5190
319,98750,1972,963,6540,1190,450,200,0,1970
320,77050,1525,739,6810,860,1900,300,0,2260
322,94000,1877,918,6500,880,1300,0,0,1900
323,99100,1978,948,8490,1280,1300,200,0,2310
324,128150,2579,1146,13850,1690,3450,0,0,3150
325,164400,3303,1392,20600,2600,4850,0,0,4250
326,82450,1628,794,6220,1020,1350,100,0,1920
327,79350,1577,799,4690,640,1600,200,0,1720
329,100800,2016,982,6670,970,1200,100,0,1870
330,85150,1707,847,5040,840,1900,200,0,1910
331,116800,2347,1121,8340,970,2100,200,0,2210
332,172850,3496,1410,26000,2820,6750,0,0,4980
333,92200,1842,884,6510,800,1900,300,0,1990
334,97700,1947,937,8810,1390,2450,300,0,2680
336,77150,1529,733,7670,1080,1950,100,0,2050
337,84800,1710,765,11350,1190,3100,0,0,2870
338,104100,2093,1007,7020,850,2100,100,0,2040
339,175650,3569,1534,22800,3060,5350,0,0,5150
343,79300,1571,684,9490,1160,1600,200,0,2010
344,81850,1631,803,7370,910,2600,100,0,2550
345,118950,2381,1055,13520,1440,3950,100,0,2900
346,163300,3315,1404,21850,2860,5550,0,0,4870
347,92750,1829,902,5850,1000,1200,500,0,2030
348,89150,1780,844,8740,1220,1850,200,0,2380
350,89550,1759,834,8870,1290,1700,600,0,2200
351,123350,2480,1083,15440,1730,4500,200,0,3800
352,133850,2701,1243,13050,1800,3000,0,0,3370
353,191550,3864,1622,24200,2680,6600,0,0,4810
354,128800,2592,1185,14740,2090,3700,200,0,3310
355,130250,2603,1195,12880,1530,3400,400,0,3080
356,120950,2424,1202,6470,880,1600,100,0,2230
357,148100,2981,1452,13050,1870,3200,0,0,4020
358,302650,6116,3006,18470,2860,3850,100,0,6870
359,205450,4155,1790,23300,2270,6100,0,0,4570
360,233150,4768,2129,22300,2580,6400,0,0,4310
361,181900,3666,1747,12420,1410,3750,100,0,3210
362,173000,3474,1645,13090,1740,2700,200,0,3340
363,150200,3017,1423,12870,1600,4050,100,0,3770
364,162400,3252,1576,12250,2200,2700,0,0,3950
365,262650,5290,2542,21900,3680,3400,0,0,7060