article,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,mean,std,std%,XYZ
BANETTINE,113.0,120.0,139.0,149.0,141.0,148.0,158.0,174.0,145.0,130.0,127.0,122.0,102.0,122.0,138.0,156.0,155.0,150.0,226.0,239.0,138.0,147.23809523809524,33.036199481636444,22.43726355479836,Y
PAIN,89.0,90.0,116.0,129.0,111.0,117.0,129.0,117.0,112.0,130.0,133.0,110.0,86.0,132.0,97.0,118.0,121.0,110.0,196.0,153.0,65.0,117.19047619047619,26.673243236657683,22.76058951523004,Y
CAFE OU EAU,67.0,63.0,85.0,107.0,105.0,96.0,124.0,133.0,86.0,104.0,100.0,83.0,70.0,61.0,78.0,81.0,99.0,104.0,120.0,117.0,61.0,92.57142857142857,21.532699386215906,23.26063205301101,Y
SANDWICH COMPLET,70.0,88.0,149.0,160.0,134.0,191.0,143.0,178.0,189.0,141.0,105.0,74.0,99.0,77.0,122.0,152.0,182.0,162.0,152.0,211.0,109.0,137.52380952380952,41.55793431779189,30.218719552411,Z
COMPLET,103.0,127.0,164.0,191.0,189.0,198.0,232.0,264.0,145.0,166.0,110.0,112.0,104.0,114.0,137.0,184.0,182.0,160.0,257.0,263.0,133.0,168.33333333333334,52.34246204883119,31.094531910196743,Z
MOISSON,101.0,131.0,163.0,194.0,190.0,165.0,241.0,260.0,150.0,146.0,112.0,113.0,94.0,115.0,101.0,148.0,171.0,156.0,214.0,255.0,142.0,160.0952380952381,50.094814863321695,31.29063391224734,Z
FORMULE SANDWICH,132.0,138.0,225.0,248.0,262.0,411.0,313.0,293.0,259.0,251.0,187.0,126.0,138.0,169.0,306.0,276.0,313.0,302.0,308.0,327.0,197.0,246.71428571428572,77.41843634247779,31.37979469585087,Z
PARIS BREST,17.0,38.0,72.0,62.0,88.0,49.0,80.0,98.0,49.0,71.0,79.0,49.0,34.0,51.0,51.0,57.0,60.0,44.0,82.0,79.0,64.0,60.666666666666664,19.88550560919519,32.77830594922284,Z
PAIN CHOCO AMANDES,49.0,59.0,83.0,84.0,73.0,74.0,135.0,141.0,110.0,108.0,99.0,72.0,45.0,53.0,85.0,83.0,112.0,79.0,117.0,159.0,85.0,90.71428571428571,30.49941451428676,33.62140182677281,Z
SPECIAL BREAD,181.0,214.0,212.0,258.0,284.0,238.0,442.0,438.0,219.0,186.0,175.0,231.0,163.0,205.0,183.0,240.0,293.0,249.0,406.0,407.0,232.0,259.8095238095238,88.1581641412859,33.93184470247441,Z
DEMI BAGUETTE,45.0,51.0,63.0,37.0,45.0,47.0,63.0,101.0,74.0,48.0,34.0,20.0,44.0,43.0,48.0,45.0,45.0,61.0,81.0,83.0,67.0,54.523809523809526,18.80590079634328,34.49117176621912,Z
BAGUETTE,741.0,774.0,891.0,988.0,1120.0,1036.0,1596.0,1966.0,1083.0,983.0,824.0,755.0,617.0,782.0,766.0,934.0,1059.0,1039.0,1741.0,1580.0,778.0,1050.142857142857,365.56261922060435,34.81075138816801,Z
TARTELETTE,63.0,217.0,250.0,202.0,327.0,197.0,321.0,404.0,236.0,258.0,219.0,143.0,99.0,233.0,218.0,212.0,295.0,249.0,391.0,308.0,178.0,239.04761904761904,84.26771397781964,35.25143413414766,Z
FLAN ABRICOT,12.0,20.0,32.0,27.0,36.0,46.0,44.0,36.0,42.0,43.0,38.0,28.0,27.0,40.0,37.0,24.0,40.0,37.0,65.0,71.0,46.0,37.666666666666664,13.439990079361417,35.681389591225,Z
ECLAIR,32.0,142.0,182.0,225.0,270.0,163.0,266.0,296.0,144.0,192.0,142.0,104.0,111.0,160.0,134.0,184.0,159.0,142.0,253.0,210.0,143.0,174.0,62.96745190969697,36.188190752699406,Z
FLAN,8.0,33.0,37.0,34.0,50.0,70.0,58.0,68.0,61.0,58.0,45.0,39.0,46.0,44.0,50.0,42.0,45.0,58.0,95.0,83.0,53.0,51.285714285714285,18.561096026751375,36.19155214129795,Z
CROISSANT AMANDES,53.0,76.0,90.0,104.0,117.0,154.0,151.0,163.0,94.0,87.0,87.0,82.0,66.0,61.0,100.0,115.0,139.0,92.0,182.0,212.0,120.0,111.66666666666667,41.63572184234751,37.285721052848515,Z
BOULE 400G,146.0,185.0,206.0,204.0,232.0,205.0,385.0,373.0,220.0,227.0,139.0,181.0,107.0,194.0,170.0,189.0,256.0,227.0,407.0,396.0,175.0,229.71428571428572,86.7543329506618,37.766189717327904,Z
CHAUSSON AUX POMMES,51.0,70.0,64.0,90.0,103.0,102.0,133.0,171.0,83.0,108.0,75.0,69.0,30.0,66.0,74.0,65.0,99.0,97.0,134.0,167.0,85.0,92.19047619047619,35.591598794686156,38.60658960167403,Z
QUIM BREAD,65.0,87.0,102.0,91.0,123.0,114.0,178.0,199.0,86.0,82.0,77.0,75.0,67.0,74.0,77.0,70.0,97.0,85.0,167.0,171.0,94.0,103.85714285714286,40.27689873151322,38.78105792580365,Z
PAIN AUX RAISINS,75.0,94.0,116.0,130.0,140.0,165.0,206.0,228.0,125.0,144.0,88.0,97.0,62.0,70.0,87.0,115.0,127.0,117.0,192.0,242.0,109.0,129.95238095238096,50.79416914418051,39.08675529599819,Z
COUPE,717.0,863.0,954.0,1078.0,1204.0,1073.0,1985.0,2035.0,1072.0,966.0,734.0,985.0,595.0,792.0,740.0,924.0,1098.0,993.0,1892.0,1927.0,878.0,1119.2857142857142,443.5176594970197,39.625062112050266,Z
SAND JB EMMENTAL,45.0,35.0,69.0,60.0,74.0,107.0,132.0,167.0,119.0,81.0,46.0,33.0,56.0,67.0,69.0,87.0,103.0,98.0,122.0,127.0,95.0,85.33333333333333,35.401035766391544,41.48558878874009,Z
SEIGLE,43.0,42.0,60.0,72.0,65.0,59.0,123.0,130.0,68.0,57.0,47.0,76.0,41.0,40.0,46.0,58.0,73.0,57.0,93.0,128.0,44.0,67.71428571428571,28.291593905509913,41.780834881554725,Z
CEREAL BAGUETTE,214.0,268.0,275.0,513.0,383.0,464.0,661.0,661.0,416.0,269.0,254.0,292.0,181.0,203.0,194.0,338.0,347.0,257.0,527.0,504.0,206.0,353.6666666666667,149.54007266727314,42.28277266746648,Z
PAIN BANETTE,92.0,112.0,140.0,145.0,148.0,144.0,264.0,298.0,129.0,128.0,102.0,86.0,75.0,91.0,81.0,109.0,148.0,140.0,210.0,245.0,134.0,143.85714285714286,61.21216032316268,42.5506576228539,Z
CAMPAGNE,130.0,162.0,179.0,217.0,246.0,180.0,381.0,416.0,218.0,175.0,141.0,158.0,87.0,129.0,137.0,178.0,182.0,178.0,320.0,378.0,164.0,207.42857142857142,90.6898954837701,43.72102399355308,Z
FINANCIER X5,16.0,32.0,47.0,63.0,78.0,63.0,98.0,136.0,51.0,52.0,42.0,56.0,36.0,51.0,59.0,58.0,75.0,55.0,69.0,96.0,30.0,60.142857142857146,26.57496136269198,44.186396565046046,Z
BOULE POLKA,20.0,31.0,31.0,19.0,25.0,26.0,43.0,47.0,27.0,21.0,14.0,14.0,11.0,20.0,15.0,18.0,18.0,23.0,41.0,49.0,18.0,25.285714285714285,11.194386348267855,44.27158442817796,Z
BANETTE,649.0,681.0,866.0,1034.0,1180.0,982.0,1998.0,2147.0,1039.0,952.0,778.0,697.0,557.0,730.0,801.0,953.0,1103.0,958.0,1868.0,1953.0,806.0,1082.4761904761904,480.2645749009205,44.36721833943046,Z
BOULE 200G,77.0,117.0,126.0,107.0,141.0,172.0,209.0,230.0,134.0,128.0,92.0,65.0,80.0,97.0,104.0,126.0,136.0,165.0,296.0,304.0,174.0,146.66666666666666,65.88424191969833,44.921074036157954,Z
SPECIAL BREAD KG,17.0,17.0,19.0,21.0,19.0,24.0,33.0,51.0,21.0,21.0,15.0,12.0,9.0,18.0,15.0,17.0,20.0,18.0,41.0,34.0,15.0,21.761904761904763,10.04442512991541,46.15600169107737,Z
PAIN AU CHOCOLAT,613.0,846.0,893.0,1023.0,1381.0,1094.0,1865.0,2423.0,975.0,1061.0,808.0,847.0,614.0,730.0,888.0,1099.0,1279.0,1209.0,2123.0,2537.0,928.0,1201.7142857142858,562.0149591298388,46.76776882915919,Z
COOKIE,121.0,94.0,128.0,171.0,174.0,187.0,252.0,383.0,142.0,180.0,104.0,152.0,128.0,157.0,119.0,154.0,163.0,140.0,313.0,394.0,123.0,179.95238095238096,84.96968647139767,47.21787287375896,Z
CROISSANT,786.0,964.0,949.0,1201.0,1614.0,1319.0,2394.0,2827.0,1272.0,1217.0,894.0,961.0,703.0,792.0,942.0,1242.0,1469.0,1356.0,2578.0,3094.0,1080.0,1412.095238095238,701.3911822059003,49.67024626129328,Z
BOISSON 33CL,27.0,37.0,47.0,91.0,86.0,118.0,184.0,165.0,105.0,59.0,69.0,40.0,34.0,55.0,105.0,73.0,90.0,108.0,148.0,156.0,75.0,89.14285714285714,45.356681662447166,50.88089289056573,Z
TRADITIONAL BAGUETTE,2751.0,3716.0,4466.0,5489.0,6472.0,5033.0,9236.0,11711.0,4665.0,4779.0,3664.0,3637.0,2640.0,3438.0,3479.0,4568.0,5689.0,5014.0,10018.0,12599.0,4399.0,5593.476190476191,2855.3284683035613,51.04747693688632,Z
FICELLE,77.0,110.0,109.0,148.0,192.0,200.0,293.0,404.0,184.0,126.0,98.0,109.0,91.0,88.0,80.0,121.0,139.0,152.0,269.0,281.0,134.0,162.14285714285714,85.33245907290245,52.627948326900196,Z
TARTE FRUITS 4P,2.0,14.0,16.0,13.0,32.0,9.0,18.0,30.0,18.0,29.0,13.0,9.0,4.0,14.0,13.0,17.0,27.0,19.0,36.0,33.0,14.0,18.095238095238095,9.575514408661093,52.91731646891657,Z
GRANDE SUCETTE,1.0,10.0,19.0,25.0,18.0,22.0,32.0,26.0,7.0,6.0,31.0,10.0,0.0,13.0,22.0,16.0,17.0,22.0,21.0,19.0,7.0,16.38095238095238,9.052492421848198,55.262308389189585,Z
MILLES FEUILLES,5.0,37.0,61.0,62.0,69.0,72.0,58.0,103.0,61.0,68.0,37.0,23.0,15.0,18.0,34.0,33.0,24.0,23.0,85.0,100.0,64.0,50.095238095238095,27.96409262233402,55.82185789629415,Z
SACHET VIENNOISERIE,20.0,22.0,32.0,28.0,32.0,16.0,56.0,52.0,26.0,29.0,27.0,11.0,7.0,33.0,26.0,27.0,34.0,18.0,13.0,0.0,0.0,24.238095238095237,14.201777219435467,58.59279402910507,Z
VIK BREAD,96.0,85.0,118.0,152.0,202.0,117.0,380.0,368.0,109.0,132.0,108.0,202.0,83.0,87.0,102.0,146.0,159.0,114.0,363.0,378.0,118.0,172.33333333333334,104.62233668454043,60.70928627729618,Z
TARTE FRUITS 6P,2.0,11.0,12.0,14.0,29.0,7.0,23.0,32.0,13.0,21.0,7.0,3.0,3.0,9.0,9.0,12.0,19.0,9.0,24.0,15.0,9.0,13.476190476190476,8.3702989649059,62.111759103542006,Z
NOIX JAPONAISE,1.0,36.0,40.0,35.0,54.0,7.0,35.0,31.0,15.0,20.0,22.0,15.0,8.0,16.0,10.0,12.0,17.0,10.0,29.0,24.0,10.0,21.285714285714285,13.34594641508371,62.699077117842926,Z
BRIOCHE,35.0,50.0,44.0,74.0,90.0,60.0,186.0,189.0,53.0,63.0,50.0,58.0,32.0,44.0,37.0,71.0,92.0,75.0,143.0,200.0,56.0,81.04761904761905,52.39129335154477,64.64260636794594,Z
DIVERS PATISSERIE,54.0,11.0,9.0,33.0,21.0,26.0,46.0,1.0,3.0,24.0,31.0,43.0,14.0,22.0,21.0,57.0,19.0,26.0,10.0,51.0,14.0,25.523809523809526,16.52155878729077,64.72998778602727,Z
SAVARIN,11.0,42.0,38.0,34.0,59.0,42.0,19.0,31.0,14.0,17.0,23.0,8.0,6.0,13.0,14.0,9.0,35.0,15.0,23.0,6.0,8.0,22.238095238095237,14.672780111160808,65.98038165618351,Z
BAGUETTE APERO,1.0,3.0,3.0,4.0,0.0,3.0,2.0,3.0,6.0,2.0,7.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,2.9523809523809526,2.011869540407391,68.14396830412132,Z
TROPEZIENNE,0.0,0.0,12.0,10.0,35.0,27.0,44.0,45.0,33.0,35.0,24.0,11.0,5.0,25.0,27.0,22.0,18.0,13.0,41.0,67.0,14.0,24.19047619047619,16.738037661622844,69.19267537285033,Z
KOUIGN AMANN,79.0,69.0,83.0,88.0,175.0,95.0,158.0,243.0,67.0,74.0,71.0,60.0,31.0,39.0,49.0,87.0,143.0,80.0,230.0,349.0,113.0,113.47619047619048,78.82297827893782,69.46212941072993,Z
DIVERS CONFISERIE,11.0,8.0,14.0,23.0,25.0,21.0,47.0,43.0,13.0,19.0,11.0,13.0,16.0,15.0,16.0,79.0,13.0,19.0,46.0,37.0,14.0,23.952380952380953,17.31322093221302,72.2818368939311,Z
SUCETTE,15.0,22.0,48.0,60.0,52.0,54.0,125.0,136.0,33.0,68.0,29.0,22.0,16.0,29.0,35.0,34.0,23.0,34.0,124.0,86.0,16.0,50.523809523809526,37.40136233831469,74.02720161212143,Z
DIVERS VIENNOISERIE,77.0,138.0,45.0,47.0,65.0,13.0,42.0,33.0,10.0,6.0,14.0,31.0,40.0,82.0,22.0,50.0,46.0,12.0,30.0,11.0,18.0,39.61904761904762,31.382281928623662,79.21008659868953,Z
DEMI PAIN,3.0,13.0,2.0,0.0,4.0,2.0,4.0,6.0,2.0,1.0,4.0,2.0,7.0,5.0,17.0,21.0,15.0,23.0,14.0,10.0,8.0,7.761904761904762,6.825721660782557,87.93874532296546,Z
TRAITEUR,0.0,0.0,0.0,0.0,0.0,0.0,120.0,114.0,134.0,153.0,132.0,160.0,155.0,140.0,116.0,62.0,77.0,33.0,22.0,22.0,16.0,69.33333333333333,63.24660728713701,91.22106820260147,Z
GRAND FAR BRETON,16.0,43.0,46.0,43.0,85.0,56.0,164.0,242.0,75.0,54.0,20.0,9.0,5.0,23.0,24.0,29.0,60.0,56.0,183.0,187.0,66.0,70.76190476190476,66.06126305324835,93.3571012192608,Z
CHOU CHANTILLY,9.0,36.0,29.0,29.0,40.0,24.0,14.0,0.0,0.0,18.0,16.0,9.0,1.0,2.0,9.0,10.0,8.0,4.0,8.0,0.0,5.0,12.904761904761905,12.144565706128656,94.10918074859843,Z
BAGUETTE GRAINE,46.0,40.0,39.0,56.0,161.0,52.0,292.0,322.0,27.0,46.0,50.0,99.0,30.0,37.0,26.0,45.0,69.0,43.0,186.0,168.0,28.0,88.66666666666667,86.94212634467443,98.05502971203883,Z
GD KOUIGN AMANN,16.0,31.0,31.0,39.0,80.0,24.0,142.0,141.0,19.0,27.0,19.0,7.0,5.0,13.0,9.0,32.0,45.0,46.0,85.0,167.0,31.0,48.04761904761905,47.568346818526486,99.00250576700259,Z
CHOCOLAT,3.0,1.0,0.0,7.0,2.0,2.0,7.0,14.0,13.0,5.0,3.0,5.0,0.0,4.0,3.0,5.0,3.0,0.0,5.0,0.0,0.0,3.9047619047619047,3.8974961437410287,99.8139256323922,Z
ROYAL 4P,2.0,0.0,0.0,7.0,11.0,0.0,8.0,12.0,6.0,5.0,0.0,1.0,0.0,2.0,8.0,4.0,4.0,0.0,5.0,2.0,1.0,3.7142857142857144,3.770183777256185,101.50494784920498,Z
PAIN S/SEL,1.0,2.0,0.0,1.0,4.0,20.0,17.0,16.0,18.0,12.0,8.0,12.0,11.0,9.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,6.666666666666667,6.814200858012136,102.21301287018203,Z
ROYAL 6P,0.0,1.0,1.0,8.0,9.0,2.0,10.0,9.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,7.0,1.0,4.0,3.0,3.0,3.142857142857143,3.335951352848454,106.14390668154172,Z
SACHET DE CROUTON,5.0,3.0,5.0,5.0,13.0,13.0,23.0,17.0,2.0,7.0,3.0,12.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,5.761904761904762,6.284144825708282,109.0636705288214,Z
FRAISIER,0.0,0.0,0.0,83.0,74.0,44.0,62.0,34.0,0.0,2.0,0.0,2.0,0.0,0.0,14.0,63.0,82.0,44.0,35.0,54.0,0.0,28.238095238095237,31.248847597799124,110.66202353352135,Z
TARTE FRAISE 4PER,0.0,0.0,2.0,15.0,24.0,23.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,11.0,20.0,16.0,0.0,7.857142857142857,8.957040327506148,113.99869507735097,Z
TARTE FRAISE 6P,0.0,0.0,1.0,10.0,15.0,15.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,7.0,22.0,14.0,2.0,5.714285714285714,6.701812121679159,117.28171212938527,Z
ROYAL,0.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,29.0,7.0,3.0,40.0,4.0,33.0,28.0,20.0,57.0,5.0,6.0,25.0,17.0,13.666666666666666,16.047845130525573,117.42325705262614,Z
TARTELETTE FRAISE,0.0,0.0,12.0,69.0,103.0,51.0,79.0,88.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,56.0,39.0,86.0,165.0,12.0,38.333333333333336,45.747495377707104,119.34129228967069,Z
PT NANTAIS,0.0,0.0,0.0,0.0,0.0,0.0,19.0,159.0,36.0,52.0,38.0,28.0,15.0,6.0,10.0,61.0,32.0,41.0,107.0,120.0,27.0,35.76190476190476,43.805142120423206,122.4910765018492,Z
DIVERS SANDWICHS,34.0,32.0,46.0,25.0,28.0,17.0,23.0,0.0,2.0,2.0,11.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,11.095238095238095,14.307007939834106,128.94728186116578,Z
GD FAR BRETON,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,6.0,6.0,4.0,26.0,27.0,10.0,19.0,33.0,8.0,8.142857142857142,10.508499960915993,129.0517539059859,Z
DIVERS BOISSONS,0.0,0.0,0.0,0.0,5.0,14.0,15.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,12.0,5.0,4.095238095238095,5.2906026301808184,129.18913399278745,Z
FONDANT CHOCOLAT,21.0,24.0,40.0,55.0,41.0,39.0,53.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142857142857142,21.0506192647288,139.0135234463223,Z
NANTAIS,40.0,67.0,81.0,82.0,116.0,84.0,115.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.142857142857142,42.7226938690501,151.80652643824908,Z
GACHE,14.0,20.0,18.0,17.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142857142857143,9.446087625497206,153.77351948483823,Z
DIVERS BOULANGERIE,9.0,9.0,18.0,22.0,15.0,18.0,19.0,7.0,7.0,4.0,1.0,115.0,1.0,9.0,5.0,9.0,3.0,9.0,16.0,10.0,13.0,15.19047619047619,23.640260251568822,155.62553770625243,Z
PLAT 7.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,13.0,22.0,27.0,18.0,12.0,5.238095238095238,8.496497877977502,162.20586857957048,Z
PLAT 8.30E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,18.0,31.0,28.0,33.0,21.0,6.9523809523809526,11.663945260829161,167.76907566946053,Z
PLAT 7.60E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,23.0,20.0,53.0,72.0,67.0,65.0,15.238095238095237,25.581056979540076,167.87568642823175,Z
ECLAIR FRAISE PISTACHE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,1.0476190476190477,1.8296499795368097,174.64840713760455,Z
TARTE FINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,8.0,14.0,17.0,13.0,0.0,4.0,0.0,0.0,3.0952380952380953,5.41206764466929,174.85141621239245,Z
FRAMBOISIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,17.0,23.0,2.0,4.0,33.0,9.0,5.095238095238095,9.076919972682154,178.14515834236002,Z
BRIOCHETTE,0.0,6.0,3.0,20.0,15.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.095238095238095,8.01189591735166,195.63931891207542,Z
PALET BRETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,39.0,13.0,86.0,80.0,19.0,12.619047619047619,25.774941688539652,204.25425489031423,Z
GD NANTAIS,0.0,0.0,0.0,0.0,0.0,0.0,13.0,47.0,9.0,7.0,16.0,9.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,5.190476190476191,10.73135148813535,206.7508084870113,Z
ST HONORE,0.0,0.0,0.0,0.0,0.0,0.0,26.0,43.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,5.238095238095238,11.01319554854431,210.25191501766412,Z
BROWNIES,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,10.0,2.0,1.0,0.0,0.0,0.0,2.142857142857143,4.574775560458832,213.4895261547455,Z
MERINGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,26.0,20.0,6.0,0.0,0.0,0.0,3.0952380952380953,7.265705484705267,234.73817719817015,Z
TRIANGLES,0.0,0.0,7.0,23.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,9.199378861019447,238.502414915319,Z
PAILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,43.0,46.0,0.0,0.0,0.0,0.0,6.238095238095238,14.966311375568667,239.91796861598624,Z
MACARON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,196.0,142.0,21.285714285714285,55.20248441614097,259.3405308140851,Z
TROPEZIENNE FRAMBOISE,0.0,0.0,13.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.5714285714285714,4.178174584330202,265.8838371846493,Z
SABLE F  P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,21.0,6.095238095238095,17.125725566832962,280.96893508085327,Z
CARAMEL NOIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,21.0,4.761904761904762,13.471840118947233,282.9086424978919,Z
TARTELETTE CHOC,0.0,0.0,0.0,6.0,0.0,0.0,9.0,37.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,8.211490207542807,287.4021572639983,Z
GAL FRANGIPANE 6P,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.095238095238095,17.55535463015419,288.01753690096723,Z
GAL POMME 6P,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9523809523809526,8.575990849319924,290.477109412449,Z
GAL FRANGIPANE 4P,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,29.530129891833717,291.14212569413525,Z
GAL POMME 4P,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,13.824409054794558,293.24504055624817,Z
GAL POIRE CHOCO 4P,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,3.4392690253266647,300.9360397160832,Z
RELIGIEUSE,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,17.275223105168088,304.85687832649563,Z
VIENNOISE,0.0,0.0,0.0,0.0,0.0,0.0,91.0,121.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.380952380952381,32.167493204283396,309.8703473807116,Z
12 MACARON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,9.0,3.3333333333333335,10.612885250172704,318.3865575051811,Z
PAIN DE MIE,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619047,6.13110725648118,321.883130965262,Z
DELICETROPICAL,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9047619047619047,9.694868549417066,333.75776973403015,Z
BOTTEREAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.523809523809526,81.29552204618595,438.87042749869016,Z
ENTREMETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8095238095238095,8.29227982896771,458.25756949558394,Z
NID DE POULE,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,7.637626158259735,458.2575694955841,Z
