article,DemandaValorizada,DemandaValorizadaPorcentual,DemandaValorizadaPorcentualAcumulada,Tipo
TRADITIONAL BAGUETTE,144756.05,25.91218490377136,25.91218490377136,A
FORMULE SANDWICH,34710.5,6.2133837867388335,32.12556869051019,A
CROISSANT,33579.5,6.010928130300534,38.13649682081073,A
PAIN AU CHOCOLAT,31100.45,5.567163589988096,43.703660410798825,A
BANETTE,24555.15,4.395516367984906,48.09917677878373,A
BAGUETTE,20481.4,3.666291142153318,51.76546792093705,A
SANDWICH COMPLET,13550.0,2.425529747779813,54.19099766871686,A
SPECIAL BREAD,13419.699999999999,2.402205280906329,56.59320294962319,A
TRAITEUR,12254.3,2.1935918220087203,58.78679477163191,A
GRAND FAR BRETON,10713.5,1.9177795537150573,60.70457432534697,A
TARTELETTE,10333.800000000001,1.8498110190115893,62.55438534435856,A
CEREAL BAGUETTE,9473.4,1.6957943551747072,64.25017969953326,A
VIK BREAD,9278.6,1.6609240086900203,65.91110370822328,A
BRIOCHE,9222.0,1.6507922755738327,67.56189598379711,A
CAMPAGNE,8092.3,1.448569326786611,69.01046531058373,A
GD KOUIGN AMANN,8064.0,1.4435034602285175,70.45396877081224,A
BOULE 400G,7532.9,1.3484334344686755,71.80240220528091,A
ECLAIR,7505.6,1.343546573796027,73.14594877907695,A
MOISSON,6915.0,1.237825697852207,74.38377447692915,A
SAND JB EMMENTAL,6629.0,1.1866300146149358,75.57040449154408,A
COMPLET,5793.6,1.037088497914179,76.60749298945827,A
KOUIGN AMANN,5182.5,0.9276980013187365,77.535190990777,A
PAIN BANETTE,4403.3,0.7882166153799891,78.32340760615699,A
DIVERS VIENNOISERIE,4253.65,0.761428384623144,79.08483599078014,A
FINANCIER X5,4128.5,0.7390257980597017,79.82386178883984,A
PAIN AUX RAISINS,3979.7999999999997,0.7124076228940295,80.53626941173387,B
COOKIE,3972.15,0.7110382278703752,81.24730763960424,B
TARTE FRUITS 6P,3608.0,0.6458532346855768,81.89316087428982,B
TARTE FRUITS 4P,3590.0,0.6426311287475667,82.53579200303739,B
COUPE,3525.75,0.6311300006077252,83.16692200364511,B
BOULE 200G,3496.4,0.6258761778699142,83.79279818151502,B
CROISSANT AMANDES,3436.0,0.615064222389036,84.40786240390406,B
PAIN CHOCO AMANDES,2970.5,0.5317369827143863,84.93959938661845,B
PAIN,2948.25,0.527754101763235,85.46735348838169,B
DIVERS PATISSERIE,2874.95,0.514632970360116,85.9819864587418,B
CHAUSSON AUX POMMES,2827.4,0.5061212405072062,86.48810769924901,B
BOISSON 33CL,2808.0,0.502648526329573,86.9907562255786,B
PARIS BREST,2642.8,0.4730767540540583,87.46383297963266,B
SEIGLE,2639.7,0.4725218358091788,87.93635481544183,B
TARTELETTE FRAISE,2610.0,0.4672053610114621,88.4035601764533,B
BAGUETTE GRAINE,2469.4,0.4420371335178945,88.8455973099712,B
PT NANTAIS,2453.0,0.4391014369965964,89.28469874696779,B
PLAT 7.60E,2432.0,0.4353423134022513,89.72004106037004,B
TARTE FRAISE 6P,2343.0,0.4194107895976459,90.13945184996768,B
QUIM BREAD,2307.3,0.4130202794872593,90.55247212945494,B
SPECIAL BREAD KG,2246.6,0.40215462224074744,90.95462675169568,B
MILLES FEUILLES,2236.5,0.40034666279775294,91.35497341449344,B
FLAN,2223.4,0.39800168569842337,91.75297510019186,B
FICELLE,2140.1,0.38309049544085444,92.13606559563272,B
TARTE FRAISE 4PER,2118.0,0.3791344653725198,92.51520006100523,B
SACHET VIENNOISERIE,2036.0,0.3644559827660295,92.87965604377126,B
BANETTINE,1951.3,0.34929418426883757,93.2289502280401,B
CAFE OU EAU,1944.0,0.347987441305089,93.5769376693452,B
FRAISIER,1925.0,0.3445863294816339,93.92152399882683,B
DIVERS CONFISERIE,1804.43,0.3230035898735298,94.24452758870036,B
FLAN ABRICOT,1714.6000000000001,0.30692349118400497,94.55145107988437,B
GAL FRANGIPANE 4P,1704.0,0.30502602879828794,94.85647710868265,B
NANTAIS,1557.5,0.27880166658059474,95.13527877526325,C
GAL FRANGIPANE 6P,1536.0,0.2749530400435271,95.41023181530677,C
ROYAL 6P,1248.0,0.22339934503536582,95.63363116034213,C
GD FAR BRETON,1233.5,0.22080375969641322,95.85443492003854,C
PLAT 8.30E,1211.8000000000002,0.21691933198225666,96.0713542520208,C
GD NANTAIS,1209.0,0.21641811550301063,96.2877723675238,C
TROPEZIENNE,1050.5,0.1880456826599774,96.47581805018378,C
ROYAL 4P,984.0,0.17614179127788457,96.65195984146166,C
SAVARIN,968.9,0.17343880240766502,96.82539864386932,C
ROYAL,940.0,0.16826553231830435,96.99366417618762,C
NOIX JAPONAISE,925.9,0.1657415493335298,97.15940572552115,C
BOULE POLKA,880.4,0.15759678154578208,97.31700250706693,C
DIVERS SANDWICHS,821.17,0.14699426295087445,97.4639967700178,C
DIVERS BOULANGERIE,797.45,0.14274824334811897,97.60674501336592,C
FONDANT CHOCOLAT,795.0,0.14230967892877872,97.7490546922947,C
GAL POMME 4P,792.0,0.14177266127244367,97.89082735356715,C
PLAT 7.00,770.0,0.1378345317926536,98.0286618853598,C
GAL POMME 6P,744.0,0.13318037877108346,98.16184226413088,C
12 MACARON,700.0,0.12530411981150325,98.28714638394239,C
GACHE,645.0,0.115458796112028,98.40260518005441,C
CHOU CHANTILLY,547.9,0.09807732463531804,98.50068250468972,C
DEMI BAGUETTE,538.45,0.09638571901786276,98.59706822370758,C
TARTE FINE,455.0,0.08144767787747711,98.67851590158506,C
MACARON,447.0,0.08001563079391708,98.75853153237898,C
PALET BRETON,371.1,0.06642908408864123,98.82496061646762,C
FRAMBOISIER,369.0,0.06605317172920672,98.89101378819683,C
ST HONORE,335.5,0.060056474566799065,98.95107026276362,C
SUCETTE,318.3,0.05697757333714498,99.00804783610077,C
RELIGIEUSE,297.5,0.053254250919888876,99.06130208702066,C
BAGUETTE APERO,279.0,0.0499426420391563,99.11124472905982,C
CARAMEL NOIX,240.0,0.04296141250680112,99.15420614156662,C
VIENNOISE,239.8,0.04292561132971212,99.19713175289633,C
PAIN S/SEL,212.7,0.03807455183415249,99.23520630473048,C
GRANDE SUCETTE,206.39999999999998,0.036946814755848954,99.27215311948633,C
SABLE F  P,204.8,0.036660405339136955,99.30881352482547,C
TRIANGLES,202.5,0.03624869180261344,99.34506221662808,C
DIVERS BOISSONS,197.5,0.035353662375388416,99.38041587900346,C
PAILLE,196.5,0.03517465648994342,99.41559053549341,C
BOTTEREAU,194.5,0.0348166447190534,99.45040718021247,C
SACHET DE CROUTON,193.60000000000002,0.0346555394221529,99.48506271963461,C
GAL POIRE CHOCO 4P,192.0,0.03436913000544089,99.51943184964006,C
DELICETROPICAL,183.0,0.03275807703643585,99.55218992667649,C
GAL POIRE CHOCO 6P,180.0,0.032221059380100836,99.5844109860566,C
BUCHE 6PERS,168.0,0.03007298875476078,99.61448397481136,C
BUCHE 4PERS,154.0,0.027566906358530714,99.6420508811699,C
TARTELETTE CHOC,150.0,0.0268508828167507,99.66890176398664,C
ENTREMETS,133.0,0.023807782764185617,99.69270954675082,C
CHOCOLAT,123.0,0.02201772390973557,99.71472727066056,C
"PLATPREPARE7,00",119.0,0.021301700367955555,99.73602897102852,C
BRIOCHE DE NOEL,114.0,0.02040667094073053,99.75643564196925,C
BROWNIES,112.5,0.020138162112563023,99.7765738040818,C
DEMI PAIN,105.05,0.01880456826599774,99.7953783723478,C
FORMULE PLAT PREPARE,88.0,0.015752517919160408,99.81113089026695,C
NID DE POULE,87.5,0.015663014976437906,99.82679390524339,C
REDUCTION SUCREES 12,80.0,0.014320470835600374,99.84111437607899,C
PAIN DE MIE,80.0,0.014320470835600374,99.85543484691459,C
BRIOCHETTE,70.2,0.012566213158239328,99.86800106007283,C
PLAQUE TARTE 25P,70.0,0.012530411981150326,99.88053147205397,C
TROPEZIENNE FRAMBOISE,69.7,0.012476710215516825,99.8930081822695,C
MERINGUE,65.0,0.011635382553925303,99.90464356482342,C
BUCHE 8PERS,56.0,0.01002432958492026,99.91466789440834,C
ECLAIR FRAISE PISTACHE,48.5,0.008681785444082726,99.92334967985242,C
"PLATPREPARE6,50",45.5,0.008144767787747711,99.93149444764016,C
PLAT,41.4,0.0074108436574231926,99.93890529129759,C
PT PLATEAU SALE,40.0,0.007160235417800187,99.94606552671539,C
GD PLATEAU SALE,36.0,0.006444211876020167,99.9525097385914,C
PAIN SUISSE PEPITO,33.6,0.006014597750952156,99.95852433634235,C
GALETTE 8 PERS,32.0,0.005728188334240149,99.9642525246766,C
CRUMBLE,26.0,0.004654153021570121,99.96890667769817,C
CRUMBLECARAMEL OU PISTAE,18.0,0.0032221059380100835,99.97212878363618,C
"PLATPREPARE5,50",16.5,0.002953597109842577,99.97508238074602,C
SAND JB,15.0,0.00268508828167507,99.9777674690277,C
REDUCTION SUCREES 24,15.0,0.00268508828167507,99.98045255730938,C
FINANCIER,13.999999999999998,0.002506082396230065,99.9829586397056,C
FORMULE PATE,13.0,0.0023270765107850605,99.98528571621638,C
THE,10.5,0.0018795617971725488,99.98716527801355,C
GUERANDAIS,10.5,0.0018795617971725488,99.98904483981072,C
PATES,9.0,0.0016110529690050418,99.99065589277973,C
ARMORICAIN,7.5,0.001342544140837535,99.99199843692057,C
TULIPE,7.0,0.0012530411981150325,99.99325147811868,C
PAIN GRAINES,6.1,0.0010919359012145282,99.9943434140199,C
TARTELETTE COCKTAIL,6.0,0.0010740353126700278,99.99541744933256,C
"PLATPREPARE6,00",6.0,0.0010740353126700278,99.99649148464523,C
PALMIER,6.0,0.0010740353126700278,99.9975655199579,C
SACHET DE VIENNOISERIE,4.0,0.0007160235417800186,99.99828154349969,C
DOUCEUR D HIVER,3.0,0.0005370176563350139,99.99881856115603,C
TROIS CHOCOLAT,3.0,0.0005370176563350139,99.99935557881237,C
CAKE,3.0,0.0005370176563350139,99.99989259646871,C
PAIN NOIR,0.6,0.00010740353126700278,99.99999999999999,C
ARTICLE 295,0.0,0.0,99.99999999999999,C
PLAT 6.50E,0.0,0.0,99.99999999999999,C
